"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","의료기관종별명","의료인수","입원실수","병상수","총면적","진료과목내용","진료과목내용명","지정취소일자","완화의료지정형태","완화의료담당부서명","구급차특수","구급차일반","총인원","구조사수","허가병상수","최초지정일자",
"11","의원","01_01_02_P","3620000","PHMA119973620020041100004","1997-05-02","","01","영업/정상","13","영업중","","","","","062-528-1213","","","광주광역시 북구 운암동 110번지 5호","광주광역시 북구 서암대로 43, 2층 (운암동)","61113","광동한의원","2022-01-07 10:06:36","U","2022-01-09 02:40:00","한의원","189872.530594818","185962.826230232","한의원","1","0","0","153","301 307 304 302 305 308 306 303","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과","","","","0","0","","","0","",
"12","의원","01_01_02_P","3620000","PHMA119973620020041100005","1997-07-03","","01","영업/정상","13","영업중","","","","","062-261-5432","","500-806","광주광역시 북구 두암2동 598번지 13호 1.2층","광주광역시 북구 군왕로168번길 21, 1,3층 (두암동)","61152","방백한의원","2024-04-09 18:03:56","U","2024-04-11 02:40:00","한의원","193987.789283273","186311.154297355","한의원","1","0","0","186.45","301 304 307 308 305 302 306 303","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과","","","","0","0","","","0","",
"13","의원","01_01_02_P","3620000","PHMA119973620020041100007","1997-12-10","","01","영업/정상","13","영업중","","","","","062-573-2275","","500-887","광주광역시 북구 양산동 287번지 4호 (3층)","광주광역시 북구 하서로 335, 3층 (양산동)","61077","모은치과의원","2017-09-05 18:32:12","I","2018-08-31 23:59:59","치과의원","188389.119472354","189532.507915877","치과의원","1","0","0","109.29","401","치과","","","","0","0","","","0","",
"14","의원","01_01_02_P","3620000","PHMA120003620020041100008","2000-07-25","","01","영업/정상","13","영업중","","","","","062-251-2090","","500-823","광주광역시 북구 문흥2동 1001번지 11호 2층","광주광역시 북구 문산로 27, 2층 (문흥동)","61133","은치과의원","2024-09-02 15:18:29","U","2024-09-04 02:40:00","치과의원","192835.098632369","187278.569014257","치과의원","1","0","0","101.51","412 411 409 408 407 406 405 404 403 402","구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 예방치과, 통합치의학과","","","","0","0","","","0","",
"15","의원","01_01_02_P","3620000","PHMA120013620020041100001","2001-02-27","","01","영업/정상","13","영업중","","","","","062-572-1075","","500-867","광주광역시 북구 일곡동 846번지 2호 서지빌딩1층","광주광역시 북구 설죽로 513, 1층 (일곡동, 서지빌딩)","61040","조선한의원","2024-06-26 10:46:26","U","2024-06-28 02:40:00","한의원","190593.743048454","189517.649689747","한의원","1","0","0","132","301 303 302 308 305","한방내과, 한방부인과, 한방소아과, 한방신경정신과, 침구과","","","","0","0","","","0","",
"16","의원","01_01_02_P","3620000","PHMA120013620020041100002","2001-03-06","","01","영업/정상","13","영업중","","","","","062-264-2858","","500-814","광주광역시 북구 두암3동 969번지 6호  주공4단지 상가동 201호","광주광역시 북구 삼정로 6, 상가동 201호 (두암동)","61159","이치과의원","2021-11-11 10:16:25","U","2021-11-13 02:40:00","치과의원","194272.595902393","184853.193021075","치과의원","1","0","0","50.08","401","치과","","","","0","0","","","0","",
"17","의원","01_01_02_P","3620000","PHMA120013620020041100003","2001-03-24","","01","영업/정상","13","영업중","","","","","062-525-5959","","500-823","광주광역시 북구 문흥동 1002번지 3호 1층","광주광역시 북구 서하로 376, 1층 (문흥동)","61133","흥성한의원","2023-02-16 20:13:19","U","2023-02-18 02:40:00","한의원","192740.315","187375.32","한의원","1","0","0","80.2","301","한방내과","","","","0","0","","","0","",
"18","의원","01_01_02_P","3620000","PHMA120013620020041100005","2001-05-30","","01","영업/정상","13","영업중","","","","","062-515-8575","","500-805","광주광역시 북구 동림동 1149번지 2호 2층","광주광역시 북구 북문대로 242, 2층 (동림동)","61096","강영구한의원","2021-11-05 14:48:55","U","2021-11-07 02:40:00","한의원","187694.904552949","187574.234480071","한의원","2","0","0","138.7","301 304 307 308 305 302 303 306","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과","","","","0","0","","","0","",
"19","의원","01_01_02_P","3620000","PHMA120013620020041100007","2001-07-24","","01","영업/정상","13","영업중","","","","","062-251-2184","","500-814","광주광역시 북구 두암3동 985번지 10호 2층","광주광역시 북구 갈마로 57, 2층 (두암동)","61161","두암치과의원","2017-09-05 18:32:14","I","2018-08-31 23:59:59","치과의원","194168.630261965","184767.395565386","치과의원","2","0","0","309.6","401","치과","","","","0","0","","","0","",
"20","의원","01_01_02_P","3620000","PHMA120083620020041100040","2008-11-19","","01","영업/정상","13","영업중","","","","","062-261-3050","","500-806","광주광역시 북구 두암동 821번지 2호 동강빌딩 6층","광주광역시 북구 동문대로 152, 6층 (두암동, 동강빌딩)","61195","샤인성형외과의원","2017-09-05 18:32:18","I","2018-08-31 23:59:59","의원","193380.581360787","186319.239937957","의원","1","0","0","160","108 114 112 101 111 113","내과, 성형외과, 소아청소년과, 안과, 이비인후과, 피부과","","","","0","0","","","0","",
"21","의원","01_01_02_P","3620000","PHMA119983620020041100003","1998-03-14","","01","영업/정상","13","영업중","","","","","062-571-2141","","500-160","광주광역시 북구 일곡동 846번지 1호 (6층)","광주광역시 북구 설죽로 515, 6층 (일곡동)","61040","광주드림치과의원","2024-04-26 13:37:53","U","2024-04-28 02:40:00","치과의원","190588.474294108","189535.040937592","치과의원","2","0","0","242.83","401","치과","","","","0","0","","","0","",
"22","의원","01_01_02_P","3620000","PHMA119983620020041100004","1998-04-25","","01","영업/정상","13","영업중","","","","","062-514-2875","","500-173","광주광역시 북구 운암3동 1059번지 22호 2층","광주광역시 북구 북문대로 161, 2층 (운암동)","61267","전기범치과의원","2022-01-06 11:03:36","U","2022-01-08 02:40:00","치과의원","188217.988296752","187082.391272649","치과의원","1","0","0","68.18","401","치과","","","","0","0","","","0","",
"23","의원","01_01_02_P","3620000","PHMA119983620020041100005","1998-04-28","","01","영업/정상","13","영업중","","","","","062-572-0151","","","","광주광역시 북구 양산로 54, 2층 (양산동)","61072","양산한의원","2025-02-20 20:13:22","U","2025-02-22 02:40:00","한의원","189027.167942564","190099.508028899","한의원","6","0","0","261.73","301 302 303 304 305 306","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과","","","","0","0","","","0","",
"24","의원","01_01_02_P","3620000","PHMA119983620020041100006","1998-05-01","","01","영업/정상","13","영업중","","","","","574-2828","","500-160","광주광역시 북구 일곡동 831-1번지 2층","광주광역시 북구 설죽로 504, 2층 (일곡동)","61041","바른이치과의원","2021-11-09 11:15:23","U","2021-11-11 02:40:00","치과의원","190679.555073267","189443.470057064","치과의원","1","0","0","107.61","401","치과","","","","0","0","","","0","",
"25","의원","01_01_02_P","3620000","PHMA119983620020041100007","1998-05-30","","01","영업/정상","13","영업중","","","","","062-264-0330","","500-814","광주광역시 북구 두암동 968번지 1호 주공2단지 상가209호","광주광역시 북구 삼정로 7, 209호 (두암동, 주공2단지상가)","61161","하늘마음치과의원","2024-09-23 15:42:39","U","2024-09-25 02:40:00","치과의원","194075.244056665","184984.418600969","치과의원","1","0","0","254.61","412 411 410 409 408 407 406 405 403 402","구강악안면외과, 치과보철과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과, 통합치의학과","","","","0","0","","","0","",
"26","의원","01_01_02_P","3620000","PHMA119983620020041100008","1998-06-16","","01","영업/정상","13","영업중","","","","","062-269-2875","","500-101","두암동","광주광역시 북구 삼정로 112, 201호 (두암동, 동산상가)","61154","좋은치과의원","2017-09-05 18:32:12","I","2018-08-31 23:59:59","치과의원","194134.605341997","185913.887628815","치과의원","1","0","0","119.79","401","치과","","","","0","0","","","0","",
"27","의원","01_01_02_P","3620000","PHMA119983620020041100009","1998-08-04","","01","영업/정상","13","영업중","","","","","062-251-2877","","500-080","광주광역시 북구 우산동 207-10번지 2층","광주광역시 북구 동문대로 113, 2층 (우산동)","61192","사랑치과의원","2022-01-06 11:01:50","U","2022-01-08 02:40:00","치과의원","193106.226602182","186030.487479977","치과의원","1","0","0","235.94","401","치과","","","","0","0","","","0","",
"28","의원","01_01_02_P","3620000","PHMA119983620020041100011","1998-11-21","","01","영업/정상","13","영업중","","","","","062-573-7528","","500-887","광주광역시 북구 양산동 244번지 1호 2층","광주광역시 북구 하서로 416, 2층 (양산동)","61024","용두치과의원","2017-09-05 18:32:12","I","2018-08-31 23:59:59","치과의원","188530.179252466","190317.363937137","치과의원","1","0","0","107.09","401","치과","","","","0","0","","","0","",
"29","의원","01_01_02_P","3620000","PHMA119913620020041100002","1991-04-26","","01","영업/정상","13","영업중","","","","","062-265-7779","","","","광주광역시 북구 우치로234번길 5-1, 3층 (오치동)","61130","서산치과의원","2024-09-03 17:17:37","U","2024-09-05 02:40:00","치과의원","191330.248292048","187413.125933377","치과의원","1","0","0","54.32","412","통합치의학과","","","","0","0","","","0","",
"30","의원","01_01_02_P","3620000","PHMA119913620020041100003","1991-06-04","","01","영업/정상","13","영업중","","","","","062-524-6550","","500-860","광주광역시 북구 운암동 1033번지 금호아파트 상가208호","광주광역시 북구 서강로 99, 상가동 208호 (운암동, 금호아파트)","61268","미보치과의원","2017-09-05 18:32:10","I","2018-08-31 23:59:59","치과의원","188277.60902786","186890.926733791","치과의원","1","0","0","52.26","401","치과","","","","0","0","","","0","",
"31","의원","01_01_02_P","3620000","PHMA120013620020041100008","2001-09-10","","01","영업/정상","13","영업중","","","","","062-528-8275","","","","광주광역시 북구 북문대로 144, 2층 (운암동)","61102","십장생한의원","2024-09-05 17:27:12","U","2024-09-07 02:40:00","한의원","188397.559671046","186992.064524224","한의원","1","0","0","114.4","301 302 303 308","한방내과, 한방부인과, 한방소아과, 침구과","","","","0","0","","","0","",
"32","의원","01_01_02_P","3620000","PHMA120013620020041100010","2001-11-03","","01","영업/정상","13","영업중","","","","","062-267-7510","","500-822","광주광역시 북구 문흥동 996번지 3호 라인상가 2층 201호","광주광역시 북구 문산로 43-2, 상가동 2층 201호 (문흥동, 라인아파트)","61129","문성진한의원","2024-05-16 21:13:22","U","2024-05-18 02:40:00","한의원","192895.810215201","187542.583837591","한의원","1","0","0","165.38","301 302 303 304 305 307 308 306","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과","","","","0","0","","","0","",
"33","의원","01_01_02_P","3620000","PHMA120023620020041100002","2002-04-08","","01","영업/정상","13","영업중","","","","","062-512-1075","","","","광주광역시 북구 자미로 45, 상가동 1층 3호 (신안동, 삼익아파트)","61220","조은한의원","2024-04-09 17:53:34","U","2024-04-11 02:40:00","한의원","191110.110350162","185673.982304046","한의원","1","0","0","120","308 306 305 304 303 302 301","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 침구과","","","","0","0","","","0","",
"34","의원","01_01_02_P","3620000","PHMA120023620020041100003","2002-04-19","","01","영업/정상","13","영업중","","","","","062-575-2275","","500-816","광주광역시 북구 매곡동 95번지 7호 (2층)","광주광역시 북구 설죽로315번길 42, 2층 (매곡동)","61059","밝은치과의원","2022-01-06 10:58:19","U","2022-01-08 02:40:00","치과의원","190337.627030626","187786.393077518","치과의원","1","0","0","109.12","401","치과","","","","0","0","","","0","",
"35","의원","01_01_02_P","3620000","PHMA120023620020041100005","2002-06-05","","01","영업/정상","13","영업중","","","","","062-267-5575","","500-822","광주광역시 북구 문흥동 999번지 3호 2층","광주광역시 북구 서하로 383, 2층 (문흥동, 혜성빌딩)","61129","현영민치과의원","2020-01-02 22:43:21","U","2020-01-04 02:40:00","치과의원","192851.613276465","187377.385591323","치과의원","1","0","0","252.67","401","치과","","","","0","0","","","0","",
"36","의원","01_01_02_P","3620000","PHMA120023620020041100006","2002-07-15","","01","영업/정상","13","영업중","","","","","062-263-1075","","","","광주광역시 북구 설죽로370번길 30, 2층 (오치동)","61052","홍익한의원","2024-08-27 09:31:52","U","2024-08-29 02:40:00","한의원","190980.835701796","188242.287494763","한의원","1","0","0","126.48","301 302 303 305 307 308","한방내과, 한방부인과, 한방소아과, 한방신경정신과, 사상체질과, 침구과","","","","0","0","","","0","",
"37","의원","01_01_02_P","3620000","PHMA120023620020041100008","2002-09-04","","01","영업/정상","13","영업중","","","","","062-574-7528","","","","광주광역시 북구 하서로 421, 3층 (용두동, 양산빌딩)","61019","엘리트치과의원","2024-08-30 17:07:26","U","2024-09-01 02:40:00","치과의원","188452.786466759","190387.925177558","치과의원","2","0","0","117","403 405 406 407 408 411","치과보철과, 소아치과, 치주과, 치과보존과, 구강내과, 예방치과","","","","0","0","","","0","",
"38","의원","01_01_02_P","3620000","PHMA120173620020041100002","2017-02-02","","01","영업/정상","13","영업중","","","","","062-462-7575","","","광주광역시 북구 양산동 244번지 1호","광주광역시 북구 하서로 416, 3,4층 (양산동)","61024","청춘의원","2025-04-03 20:43:23","U","2025-04-05 02:40:00","의원","188530.179252466","190317.363937137","의원","2","6","19","775.34","122 120 114 109 106 105","정형외과, 신경외과, 마취통증의학과, 피부과, 재활의학과, 가정의학과","","","","0","0","","","0","",
"39","의원","01_01_02_P","3620000","PHMA120173620020041100003","2017-02-03","","01","영업/정상","13","영업중","","","","","062-265-7588","","","광주광역시 북구 오치동 949번지 24호","광주광역시 북구 서하로 207, 1층 (오치동)","61054","강남한의원","2024-09-09 13:48:57","U","2024-09-11 02:40:00","한의원","191111.714460859","187586.962513727","한의원","1","0","0","224","308 307 306 305 304 303 302 301","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과","","","","0","0","","","0","",
"40","의원","01_01_02_P","3620000","PHMA120173620020041100004","2017-03-02","","01","영업/정상","13","영업중","","","","","062-261-0075","","","광주광역시 북구 오치동 572번지 1호","광주광역시 북구 서하로 202, 2층 (오치동)","61120","행복을주는 가정의학과의원","2017-09-05 18:32:21","I","2018-08-31 23:59:59","의원","191053.13977625","187548.256492227","의원","1","0","0","130","101 105 106 109 110 111 113 114 115 119 122","내과, 정형외과, 신경외과, 마취통증의학과, 산부인과, 소아청소년과, 이비인후과, 피부과, 비뇨의학과, 진단검사의학과, 가정의학과","","","","0","0","","","0","",
"41","의원","01_01_02_P","3620000","PHMA120083620020041100043","2008-11-27","","01","영업/정상","13","영업중","","","","","062-514-2228","","","","광주광역시 북구 유림로 165, 102호 (동림동)","61271","스위트치과의원","2021-11-09 16:26:45","U","2021-11-11 02:40:00","치과의원","187536.000674138","186474.678643189","치과의원","1","0","0","160.96","401 412","치과, 통합치의학과","","","","0","0","","","0","",
"42","의원","01_01_02_P","3620000","PHMA120083620020041100034","2008-10-23","","01","영업/정상","13","영업중","","","","","062-513-8275","","500-853","광주광역시 북구 운암동 67번지 상가 204호,205호","광주광역시 북구 서강로54번길 55, 상가동 204.205호 (운암동)","61260","운암이비인후과의원","2021-03-11 21:43:23","U","2021-03-13 02:40:00","의원","188742.174465993","186405.981216153","의원","1","0","0","119.49","113 111 101 114","내과, 소아청소년과, 이비인후과, 피부과","","","","0","0","","","0","",
"43","의원","01_01_02_P","3620000","PHMA120083620020041100035","2008-10-28","","01","영업/정상","13","영업중","","","","","062-525-0028","","","","광주광역시 북구 북문대로 88, 101동 206호 (운암동, 벽산블루밍상가)","61100","운암가족치과의원","2024-09-24 17:14:27","U","2024-09-26 02:40:00","치과의원","188760.100353208","186601.090842501","치과의원","1","0","0","226.8","412 411 409 408 407 406 405 403 402","구강악안면외과, 치과보철과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 예방치과, 통합치의학과","","","","0","0","","","0","",
"44","의원","01_01_02_P","3620000","PHMA120083620020041100036","2008-10-27","","01","영업/정상","13","영업중","","","","","062-269-7582","","500-801","광주광역시 북구 각화동 505번지 11호 3층","광주광역시 북구 동문대로 206, 3층 (각화동)","61165","미소의원","2022-12-08 22:13:21","U","2022-12-10 02:40:00","의원","193598.746606758","186807.831995093","의원","2","0","0","231","104 108 114","외과, 성형외과, 피부과","","","","0","0","","","0","",
"45","의원","01_01_02_P","3620000","PHMA120083620020041100038","2008-11-11","","01","영업/정상","13","영업중","","","","","062-529-2275","","500-881","광주광역시 북구 풍향동 603번지 24호 2층","광주광역시 북구 동문대로 2 (풍향동, 603-24)","61206","하늘치과의원","2024-09-02 15:18:47","U","2024-09-04 02:40:00","치과의원","192626.099856519","185091.098349682","치과의원","2","0","0","119.4","412 411 409 408 407 406 405 404 403 402","구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 예방치과, 통합치의학과","","","","0","0","","","0","",
"46","의원","01_01_02_P","3620000","PHMA120053620020041100008","2005-06-16","","01","영업/정상","13","영업중","","","","","062-574-2879","","500-150","광주광역시 북구 매곡동 214-44번지 2층","광주광역시 북구 매곡로 70, 2층 (매곡동)","61059","엘치과의원","2024-08-22 16:57:36","U","2024-08-24 02:40:00","치과의원","190211.297425236","188010.215829534","치과의원","1","0","0","116.53","412 411 409 408 407 406 405 404 403 402","구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 예방치과, 통합치의학과","","","","0","0","","","0","",
"47","의원","01_01_02_P","3620000","PHMA120053620020041100011","2005-08-03","","01","영업/정상","13","영업중","","","","","062-573-2228","","500-815","광주광역시 북구 매곡동 40번지 11호 글로리빌딩 3층","광주광역시 북구 서하로 129, 3층 (매곡동)","61062","이오치과의원","2024-09-27 19:29:48","U","2024-09-29 02:40:00","치과의원","190328.925485326","187612.12654351","치과의원","1","0","0","102","412 411 409 408 407 406 405 403 402","구강악안면외과, 치과보철과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 예방치과, 통합치의학과","","","","0","0","","","0","",
"48","의원","01_01_02_P","3620000","PHMA120053620020041100012","2005-08-12","","01","영업/정상","13","영업중","","","","","062-268-1075","","500-839","광주광역시 북구 오치2동 776번지 7호 2층","광주광역시 북구 서하로 196, 2층 (오치동)","61120","남경한의원","2021-11-08 13:34:37","U","2021-11-10 02:40:00","한의원","190988.476115219","187545.140609079","한의원","1","0","0","117.6","301 308 302 303 305 306 304","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 침구과","","","","0","0","","","0","",
"49","의원","01_01_02_P","3620000","PHMA120053620020041100013","2005-08-16","","01","영업/정상","13","영업중","","","","","062-268-2275","","500-822","광주광역시 북구 문흥1동 995번지 5호 2층","광주광역시 북구 서하로 389, 2층 (문흥동)","61129","사과나무치과의원","2019-01-11 01:13:15","U","2019-01-13 02:40:00","치과의원","193080.282291777","187269.979773485","치과의원","1","0","0","217.5","401","치과","","","","0","0","","","0","",
"50","의원","01_01_02_P","3620000","PHMA120053620020041100014","2005-09-21","","01","영업/정상","13","영업중","","","","","062-525-3008","","","","광주광역시 북구 비엔날레로 87, 3층 (용봉동)","61108","우리들한의원","2023-03-28 09:07:52","U","2023-05-26 08:48:36","한의원","189887.661857199","186723.364937022","한의원","1","0","0","246.8","301 302 303 305 308","한방내과, 한방부인과, 한방소아과, 한방신경정신과, 침구과","","","","0","0","","","0","",
"51","의원","01_01_02_P","3620000","PHMA119993620020041100002","1999-04-24","","01","영업/정상","13","영업중","","","","","062-522-7828","","500-857","광주광역시 북구 운암동 351번지 3호 2층","광주광역시 북구 북문대로 97, 2층 (운암동, 한미쇼핑)","61256","허치과의원","2024-10-02 15:18:59","U","2024-10-04 02:40:00","치과의원","188646.620241521","186578.273994829","치과의원","1","0","0","82.5","412","통합치의학과","","","","0","0","","","0","",
"52","의원","01_01_02_P","3620000","PHMA120023620020041100011","2002-12-02","","01","영업/정상","13","영업중","","","","","062-608-8228","","500-860","광주광역시 북구 운암동 1078번지 11호","광주광역시 북구 북문대로 191, 2층 (운암동)","61266","운암한국치과의원","2021-11-10 13:44:36","U","2021-11-12 02:40:00","치과의원","188062.204598324","187330.856595845","치과의원","1","0","0","46.93","401","치과","","","","0","0","","","0","",
"53","의원","01_01_02_P","3620000","PHMA120033620020041100002","2003-01-20","","01","영업/정상","13","영업중","","","","","062-267-1075","","500-110","광주광역시 북구 문흥동 1011-1번지 2층","광주광역시 북구 문산로 30 (문흥동)","61134","경희가인한의원","2021-11-05 14:59:52","U","2021-11-07 02:40:00","한의원","192931.216699219","187193.170585655","한의원","1","0","0","104.57","301 302 303 304 305 308","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 침구과","","","","0","0","","","0","",
"54","의원","01_01_02_P","3620000","PHMA120033620020041100005","2003-04-17","","01","영업/정상","13","영업중","","","","","062-266-0660","","500-810","광주광역시 북구 두암동 947번지 1호 부영아파트 상가 103-106","광주광역시 북구 삼정로 71, 103-106호 (두암동, 부영아파트상가)","61160","장수한의원","2023-03-09 15:10:23","U","2023-03-11 02:40:00","한의원","193995.560505123","185418.260694883","한의원","1","0","0","168.5","301 302 305 308 306 303 307 304","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과","","","","0","0","","","0","",
"55","의원","01_01_02_P","3620000","PHMA120033620020041100006","2003-04-18","","01","영업/정상","13","영업중","","","","","062-521-7525","","","","광주광역시 북구 북문대로 150, 2층 (운암동)","61102","쿨한의원","2024-04-11 17:48:37","U","2024-04-13 02:40:00","한의원","188355.992400782","187017.075821253","한의원","2","0","0","161.7","301 302 303 304 308","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 침구과","","","","0","0","","","0","",
